Traces_Median_Delta_From_Traces_Elapsed_Time_null,UNIT_CATEGORY,RemainingTime,Traces_Mean_Delta_From_Traces_Elapsed_Time_null,NumExecution_Current_Activity,Count_Concurrent_Instances,CONTAINER_TYPE,UNIT_FREIGHT_KIND,Median_Elapsed_Time_Concurrent_Instances,LINE_OPERATOR,Mean_Elapsed_Time_Concurrent_Instances,UNIT_GKEY,Trace_Start_Time,CLASS
6560000,EXPRT,?,-15444046,?,3614,20RG,MTY,167426000,4185,180664905,2672679418,?,'[3.11746E8,3.649E8['
-13281000,EXPRT,?,-70376380,?,624,20RG,MTY,53026000,4185,33536064,2672668978,?,'[3.11746E8,3.649E8['
-15572000,EXPRT,?,-72716182,?,624,40HC,FCL,10627500,4281,32447967,2672750229,?,'[5.20066E8,6.24443E8['
-16444000,EXPRT,?,-73436714,?,624,20RG,MTY,11386000,4185,33148828,2672767215,?,'[4.6604E8,5.20066E8['
-1197000,EXPRT,?,-78585043,?,629,40RG,MTY,52547000,4185,50539723,2672651228,?,'[5.20066E8,6.24443E8['
-1197500,EXPRT,?,-77503379,?,624,20RG,MTY,54590000,4076,47714857,2672679146,?,'[2.17554E8,2.24119E8['
-15313000,EXPRT,?,-71564181,?,624,20RG,MTY,56793000,4076,34656889,2672711698,?,'[2.13063E8,2.17554E8['
-13281000,EXPRT,?,-70371485,?,624,20RG,MTY,52973000,4185,33496620,2672729482,?,'[4.6604E8,5.20066E8['
-14919000,EXPRT,?,-70778206,?,624,20RG,MTY,33413000,4185,33619396,2672759052,?,'[3.11746E8,3.649E8['
-4965000,EXPRT,?,-72718124,?,624,20RG,MTY,57544000,4076,36139340,2672684569,?,'[2.17554E8,2.24119E8['
-14919000,EXPRT,?,-70470760,?,624,40HC,MTY,55147500,4185,34003781,2672715054,?,'[1.058038E9,1.522382E9['
-16587500,EXPRT,?,-73949825,?,624,20RG,MTY,12100000,4103,33618966,2672727793,?,'[6.24443E8,1.058038E9['
-16462500,EXPRT,?,-73624473,?,624,20RG,MTY,11668000,4185,33203352,2672817447,?,'[4.6604E8,5.20066E8['
-15928500,EXPRT,?,-73105642,?,624,40HC,FCL,10729000,4173,32642307,2672724663,?,'[3.649E8,4.6604E8['
-15379000,EXPRT,?,-71249679,?,624,20RG,MTY,56600000,4103,34342324,2672738810,?,'[6.24443E8,1.058038E9['
-14153000,EXPRT,?,-70238959,?,624,40OT,MTY,33346000,4103,33546007,2672727548,?,'[6.24443E8,1.058038E9['
-16477000,EXPRT,?,-73399237,?,626,40RG,FCL,13146000,4185,34261699,2672829858,?,'[4.6604E8,5.20066E8['
0,EXPRT,?,-7416783,?,3677,40HC,FCL,170620000,4060,151517576,2672886697,?,'[3.11746E8,3.649E8['
-14919000,EXPRT,?,-70688374,?,624,20RG,MTY,56532000,4173,34270972,2672719986,?,'[3.649E8,4.6604E8['
0,EXPRT,?,-15768709,?,3720,20RG,MTY,169978000,4185,140864699,2672772270,?,'[7.8491E7,2.13063E8['
0,EXPRT,?,-47425134,?,9663,20RG,MTY,88110500,4103,94719905,2672785067,?,'[4.6604E8,5.20066E8['
-15984000,EXPRT,?,-73912540,?,624,40HC,FCL,10727000,4173,32857836,2672717848,?,'[3.649E8,4.6604E8['
-14549500,EXPRT,?,-70861316,?,624,40HC,FCL,53216000,4185,33898282,2672748302,?,'[7.8491E7,2.13063E8['
-15181500,EXPRT,?,-71655680,?,624,20RG,MTY,10588000,4076,32731608,2672780070,?,'[2.13063E8,2.17554E8['
-15083000,EXPRT,?,-70520153,?,624,20RG,MTY,53162000,4076,33840676,2672727650,?,'[2.13063E8,2.17554E8['
-16519000,EXPRT,?,-73732177,?,624,40RH,MTY,12832000,4185,34147850,2672842977,?,'[1.058038E9,1.522382E9['
-1194000,EXPRT,?,-30534781,?,3610,40HC,FCL,166601000,4060,181046748,2672886652,?,'[3.649E8,4.6604E8['
6756500,EXPRT,?,-12417102,?,3615,40RG,MTY,167648000,4037,180879637,2672647424,?,'[3.649E8,4.6604E8['
-16587500,EXPRT,?,-73147271,?,626,20RG,MTY,15444000,4185,36020575,2672783096,?,'[3.649E8,4.6604E8['
-1197500,EXPRT,?,-77506261,?,624,20RG,MTY,54597000,4076,47721290,2672676733,?,'[2.24119E8,3.11746E8['
0,EXPRT,?,-25155886,?,4657,20RG,FCL,12258000,4185,87907721,2672796502,?,'[2.24119E8,3.11746E8['
0,EXPRT,?,-19856508,?,3766,20RG,MTY,170410000,4047,130293365,2672781251,?,'[6.24443E8,1.058038E9['
0,EXPRT,?,-9467661,?,3680,20RG,MTY,170508000,4047,149337051,2672781306,?,'[6.24443E8,1.058038E9['
0,EXPRT,?,-17923278,?,3736,40HC,FCL,170134500,4185,138811973,2672869993,?,'[7.8491E7,2.13063E8['
-14549500,EXPRT,?,-70505724,?,624,20RG,MTY,53277000,4076,33958964,2672747823,?,'[2.13063E8,2.17554E8['
-15684000,EXPRT,?,-73129366,?,624,40HC,FCL,10726500,4185,32546669,2672748392,?,'[7.8491E7,2.13063E8['
-1199000,EXPRT,?,-77755776,?,624,20RG,MTY,54318000,4103,48440966,2672671464,?,'[6.24443E8,1.058038E9['
129736000,EXPRT,?,32865678,?,3622,20RG,FCL,168747000,4185,177301834,2672791768,?,'[2.24119E8,3.11746E8['
-10880000,EXPRT,?,-70486052,?,624,20RG,FCL,52717500,4060,33421762,2672738997,?,'[3.649E8,4.6604E8['
-15959000,EXPRT,?,-75387697,?,624,20RG,MTY,57969000,4185,36562865,2672679019,?,'[3.11746E8,3.649E8['
-14153000,EXPRT,?,-70211271,?,624,40HC,FCL,33364000,4076,33572305,2672767244,?,'[2.13063E8,2.17554E8['
