UNIT_GKEY,UNIT_FREIGHT_KIND,CONTAINER_TYPE,LINE_OPERATOR,Count_Concurrent_Instances,Traces_Median_Delta_From_Traces_Elapsed_Time_null,Traces_Mean_Delta_From_Traces_Elapsed_Time_null,Median_Elapsed_Time_Concurrent_Instances,Mean_Elapsed_Time_Concurrent_Instances,CLASS,
2672623119,MTY,20RG,4103,624,-562000,-51045547,56273000,51443287,'[6.24443E8,1.058038E9['
2672623565,MTY,20RG,4103,624,-562000,-51169486,56201000,51371651,'[6.24443E8,1.058038E9['
2672644300,MTY,20RG,4047,629,-562000,-50894471,54113000,52375057,'[1.058038E9,1.522382E9['
2672646786,MTY,20RG,4185,624,-567000,-57583745,60552000,39829334,'[3.11746E8,3.649E8['
2672647424,MTY,40RG,4037,3615,94129000,19175750,170051000,188806455,'[3.649E8,4.6604E8['
2672650755,MTY,20RG,4047,629,-562000,-50662808,54595000,52694060,'[1.058038E9,1.522382E9['
2672651228,MTY,40RG,4185,629,-562000,-50995201,54106000,52371114,'[5.20066E8,6.24443E8['
2672660894,MTY,20RG,4103,624,-562000,-51630366,56070000,51562606,'[6.24443E8,1.058038E9['
2672663849,MTY,20RG,4103,624,-567000,-60170929,60001000,41812503,'[6.24443E8,1.058038E9['
2672665698,MTY,20RG,4185,624,-577000,-59153143,62118000,38677229,'[4.6604E8,5.20066E8['
2672665854,MTY,20RG,4185,624,-567000,-60830763,60097000,41908768,'[3.11746E8,3.649E8['
2672668978,MTY,20RG,4185,624,-567000,-56578480,60709000,39621322,'[3.11746E8,3.649E8['
2672669022,MTY,20RG,4185,624,-562000,-50786414,56277000,51460393,'[4.6604E8,5.20066E8['
2672671464,MTY,20RG,4103,624,-562000,-51144755,56118000,51613533,'[6.24443E8,1.058038E9['
2672676733,MTY,20RG,4076,624,-563000,-51136366,56396000,51083230,'[2.24119E8,3.11746E8['
2672679019,MTY,20RG,4185,624,-567000,-61005024,60069000,41883356,'[3.11746E8,3.649E8['
2672679066,FCL,40HC,4076,624,-565000,-56068366,58382500,44350720,'[2.17554E8,2.24119E8['
2672679146,MTY,20RG,4076,624,-563000,-51130335,56389000,51076598,'[2.17554E8,2.24119E8['
2672679215,MTY,20RG,4185,624,-567000,-60415866,60321000,41482441,'[4.6604E8,5.20066E8['
2672679261,MTY,20RG,4185,624,-4860000,-60463662,62225500,39004862,'[4.6604E8,5.20066E8['
2672679318,MTY,20RG,4076,624,-563000,-51623307,56330000,49056825,'[2.17554E8,2.24119E8['
2672679372,MTY,20RG,4076,624,-563000,-51533629,56342000,49068828,'[2.17554E8,2.24119E8['
2672679418,MTY,20RG,4185,3614,60652000,12470850,169829000,188589938,'[3.11746E8,3.649E8['
2672684569,MTY,20RG,4076,624,-566500,-57895420,59644000,41459395,'[2.17554E8,2.24119E8['
2672684615,MTY,20RG,4076,624,-566000,-58064191,59584000,41399399,'[2.17554E8,2.24119E8['
2672686370,MTY,20RG,4185,624,-571000,-58839937,61615000,38457702,'[3.11746E8,3.649E8['
2672687186,MTY,20RG,4076,624,-564000,-56822547,58050000,46007696,'[2.17554E8,2.24119E8['
2672687234,MTY,20RG,4076,624,-564000,-56231994,58119000,45843286,'[2.17554E8,2.24119E8['
2672687823,MTY,20RG,4076,624,-567000,-58202945,59693000,41509168,'[2.17554E8,2.24119E8['
2672687870,MTY,20RG,4076,624,-567000,-57663455,59775000,41591172,'[2.17554E8,2.24119E8['
2672688907,MTY,20RG,1365373081,624,-565000,-56690306,58427000,44666580,'[1.058038E9,1.522382E9['
2672689044,MTY,20RG,1365373081,624,-566000,-56452991,58416500,44019444,'[1.058038E9,1.522382E9['
2672689090,MTY,20RG,1365373081,624,-565000,-56351890,58337000,44576595,'NOT SET',
2672689196,MTY,20RG,4185,626,-14069000,-62259254,63687500,41924189,'[4.6604E8,5.20066E8['
2672691798,MTY,20RG,4076,624,-567000,-60893889,60081000,41897695,'[2.17554E8,2.24119E8['
2672691864,MTY,20RG,4185,626,-14075000,-62312666,63678500,41915389,'[4.6604E8,5.20066E8['
2672691911,MTY,20RG,4076,624,-567000,-60506155,60022000,41838706,'[2.17554E8,2.24119E8['
2672692064,MTY,20RG,4103,624,-567000,-58981093,59933000,41749719,'[6.24443E8,1.058038E9['
2672692106,MTY,20RG,1365373081,624,-568000,-57881612,60988500,38656125,'[1.058038E9,1.522382E9['
2672694811,MTY,20RG,1365373081,624,-568000,-58064902,61018000,38929795,'[1.058038E9,1.522382E9['
2672696416,MTY,20RG,4076,624,-567000,-60542928,60239000,42056205,'[2.17554E8,2.24119E8['
2672696509,MTY,20RG,4076,624,-567000,-60708220,60150000,41967209,'[2.17554E8,2.24119E8['
2672698909,MTY,20RG,4076,624,-567000,-61095408,60322000,41869967,'[2.17554E8,2.24119E8['
2672698969,MTY,20RG,4076,624,-567000,-60633197,60244000,41641906,'[2.17554E8,2.24119E8['
2672699026,MTY,20RG,4076,624,-567000,-60411307,60279000,41443735,'[2.17554E8,2.24119E8['
2672699076,MTY,20RG,4076,624,-567000,-60699891,60330000,41727912,'[2.17554E8,2.24119E8['
2672702347,MTY,20RG,4185,625,-12628000,-61690068,63301500,40076875,'[4.6604E8,5.20066E8['
2672703942,MTY,20RG,4076,624,-567000,-60384789,60339000,41504744,'[2.17554E8,2.24119E8['
2672703969,FCL,40HC,4281,624,-566500,-58067883,59608000,41426760,'[5.20066E8,6.24443E8['
2672704022,MTY,20RG,4076,624,-567000,-59631258,60371000,41104297,'[2.17554E8,2.24119E8['
2672704872,FCL,40HC,4173,624,-568000,-57909771,61072500,38742125,'[3.649E8,4.6604E8['
2672707682,MTY,20RG,4185,624,-567000,-56572434,60809000,39572786,'[4.6604E8,5.20066E8['
2672709661,MTY,20RG,4103,624,-576500,-59032850,62056000,38621621,'[6.24443E8,1.058038E9['
2672711631,MTY,20RG,4076,624,-566000,-58879004,60455000,40831218,'[2.17554E8,2.24119E8['
2672711698,MTY,20RG,4076,624,-567000,-58728399,60508000,40476287,'[2.13063E8,2.17554E8['
2672711754,MTY,20RG,4076,624,-566000,-59254220,60534000,41155587,'[2.17554E8,2.24119E8['
2672711798,MTY,20RG,4076,624,-566000,-58779638,60388000,40764228,'[2.13063E8,2.17554E8['
2672712493,MTY,20RG,4076,624,-567000,-59578734,60464000,41198550,'[2.17554E8,2.24119E8['
2672712500,FCL,40HC,4076,624,-567000,-59369096,60450000,41071831,'[2.17554E8,2.24119E8['
2672712572,MTY,20RG,4076,624,-567000,-59436234,60447000,41068833,'[2.17554E8,2.24119E8['
2672714966,MTY,20RG,4103,624,-10556000,-60415110,62556500,39185717,'[6.24443E8,1.058038E9['
2672715010,MTY,20RG,4185,3614,63167000,15848284,169980000,188627604,'[3.11746E8,3.649E8['
2672715054,MTY,40HC,4185,624,-567000,-57912694,60486000,39955460,'[1.058038E9,1.522382E9['
2672716526,MTY,20RG,4076,624,-566000,-58425612,60575000,40544265,'[2.13063E8,2.17554E8['
2672716625,MTY,20RG,4076,624,-566000,-57974887,60475000,40167523,'[2.13063E8,2.17554E8['
2672717841,MTY,20RG,4076,624,-567000,-58355613,60537000,40229759,'[2.13063E8,2.17554E8['
2672717848,FCL,40HC,4173,624,-571000,-58749987,61666000,38513264,'[3.649E8,4.6604E8['
2672717939,MTY,20RG,4076,624,-567000,-57807530,60487000,39956939,'[2.13063E8,2.17554E8['
2672717993,MTY,20RG,4185,624,-567000,-56538763,60872500,39432742,'[3.11746E8,3.649E8['
2672719026,MTY,40HC,4185,624,-567000,-57997601,60564000,40034176,'[1.058038E9,1.522382E9['
2672719087,FCL,20RG,4037,624,-10665500,-60901611,62993000,39591671,'[5.20066E8,6.24443E8['
2672719986,MTY,20RG,4173,624,-566000,-58079697,60472000,40165244,'[3.649E8,4.6604E8['
2672720058,MTY,20RG,1365373081,624,-567000,-58392812,59787000,41608617,'[1.058038E9,1.522382E9['
2672720102,MTY,20RG,4173,624,-567000,-58691297,60519000,40489008,'[3.649E8,4.6604E8['
2672720146,MTY,20RG,1365373081,624,-566500,-57963951,59617000,41438624,'[1.058038E9,1.522382E9['
2672722047,MTY,20RG,4185,626,-13833000,-61956759,63571000,40611195,'[4.6604E8,5.20066E8['
2672722076,FCL,20RG,4037,624,-2090000,-59850642,62137000,38926814,'[5.20066E8,6.24443E8['
2672724359,MTY,40RG,4103,624,-566000,-58199720,59602000,41575760,'[3.649E8,4.6604E8['
2672724414,FCL,20RG,4060,624,-570000,-58289048,61516000,38443807,'[5.20066E8,6.24443E8['
2672724663,FCL,40HC,4173,624,-570000,-58051061,61428000,38355810,'[3.649E8,4.6604E8['
2672725106,FCL,20RG,4060,624,-567000,-56947764,60551000,39626426,'[5.20066E8,6.24443E8['
2672727548,MTY,40OT,4103,624,-567000,-56439020,60884500,39445897,'[6.24443E8,1.058038E9['
2672727604,MTY,20RG,4076,624,-567000,-58067125,60548000,40019142,'[2.13063E8,2.17554E8['
2672727650,MTY,20RG,4076,624,-567000,-57662710,60541000,39832685,'[2.13063E8,2.17554E8['
2672727698,MTY,20RG,4185,624,-568000,-57144026,61007000,38389798,'[3.11746E8,3.649E8['
2672727749,MTY,20RG,4047,624,-572000,-59089061,61867000,38463167,'[1.058038E9,1.522382E9['
2672727793,MTY,20RG,4103,624,-12316000,-60853463,62564500,39350438,'[6.24443E8,1.058038E9['
2672727838,MTY,40HC,4037,624,-566500,-57965657,59634000,41456412,'[5.20066E8,6.24443E8['
2672729356,MTY,20RG,4185,624,-568000,-58165839,61051000,39302723,'[3.11746E8,3.649E8['
2672729382,FCL,40HC,4103,3654,71077000,36999665,172577500,173064941,'[3.11746E8,3.649E8['
2672729438,MTY,20RG,4185,624,-567000,-56660550,60708000,39630225,'[4.6604E8,5.20066E8['
2672729482,MTY,20RG,4185,624,-567000,-56753393,60656000,39578229,'[4.6604E8,5.20066E8['
2672729528,MTY,20RG,4185,624,-567000,-60789393,60168000,41990920,'[3.11746E8,3.649E8['
2672730433,MTY,20RG,4185,624,-567000,-60757116,60209000,42032166,'[3.11746E8,3.649E8['
2672731913,FCL,40HC,4076,624,-566000,-58369772,60533000,40400819,'[2.13063E8,2.17554E8['
2672731917,MTY,20RG,4185,624,-973000,-59589875,62162000,38841939,'[4.6604E8,5.20066E8['
2672732017,MTY,20RG,4185,624,-567000,-59541821,60446000,41071083,'[4.6604E8,5.20066E8['
2672732075,MTY,20RG,4185,624,-567000,-56628573,60815500,39377835,'[3.11746E8,3.649E8['
2672733668,MTY,20RG,4185,624,-567500,-58130346,61007000,39259414,'[3.11746E8,3.649E8['
2672733714,MTY,20RG,4185,624,-567000,-57944076,60973000,39225418,'[3.11746E8,3.649E8['
2672734075,FCL,20RG,4060,624,-567000,-56833633,60645000,39568165,'[3.649E8,4.6604E8['
2672738810,MTY,20RG,4103,624,-567000,-58288456,60540000,40235668,'[6.24443E8,1.058038E9['
2672738861,FCL,20RG,4060,5724,-639000,-44409765,16470000,53076308,'[2.24119E8,3.11746E8['
2672738953,MTY,40HC,4037,624,-567000,-56769068,60612000,39535404,'[5.20066E8,6.24443E8['
2672738997,FCL,20RG,4060,624,-567000,-56479375,60759000,39527252,'[3.649E8,4.6604E8['
2672739595,MTY,40HC,4185,624,-567000,-56566782,60829500,39392757,'[1.058038E9,1.522382E9['
2672739596,FCL,40RG,4185,10590,-482000,-51459478,137744000,124934667,'[7.8491E7,2.13063E8['
2672739683,FCL,40HC,4173,624,-570000,-58321407,61575000,38504770,'[3.649E8,4.6604E8['
2672741021,MTY,20RG,4185,624,-571500,-59194412,61671000,38432037,'[3.11746E8,3.649E8['
2672747668,MTY,20RG,4076,624,-567000,-57570170,60617000,39911067,'[2.13063E8,2.17554E8['
2672747691,FCL,40RG,4103,624,-572000,-59298875,61728000,38480116,'[5.20066E8,6.24443E8['
2672747766,MTY,20RG,4185,3623,124969000,56561682,171341000,186432964,'[2.24119E8,3.11746E8['
2672747823,MTY,20RG,4076,624,-567000,-57330200,60656000,39950075,'[2.13063E8,2.17554E8['
2672748302,FCL,40HC,4185,624,-567000,-57624919,60595000,39889306,'[7.8491E7,2.13063E8['
2672748347,FCL,40HC,4185,624,-566000,-58425612,60575000,40544265,'[7.8491E7,2.13063E8['
2672748392,FCL,40HC,4185,624,-569000,-57708030,61307000,38247990,'[7.8491E7,2.13063E8['
2672750002,MTY,40RG,4103,626,-13833000,-61903768,63673000,40716071,'[3.11746E8,3.649E8['
2672750031,FCL,40HC,4185,5630,-581000,-42803784,15274000,52824798,'[2.24119E8,3.11746E8['
2672750109,MTY,40RG,4103,3615,74095000,17843728,170164000,188815312,'[7.8491E7,2.13063E8['
2672750180,MTY,20RG,4103,624,-12624000,-60633948,63222000,39688274,'[6.24443E8,1.058038E9['
2672750229,FCL,40HC,4281,624,-569000,-57498357,61208000,38149209,'[5.20066E8,6.24443E8['
2672751641,FCL,20RG,4060,624,-10381500,-60248822,62587000,39206266,'[5.20066E8,6.24443E8['
2672752880,FCL,40HC,4185,624,-10556000,-60452480,62538500,39172138,'[7.8491E7,2.13063E8['
2672753056,FCL,40RG,4076,624,-566000,-58880233,60401000,40783160,'[2.17554E8,2.24119E8['
2672753166,FCL,40HC,4185,6499,-20401500,-57018412,33131000,62006033,'[2.24119E8,3.11746E8['
2672753831,MTY,40RG,4103,624,-568000,-57127130,61097000,38272992,'[3.11746E8,3.649E8['
2672754547,MTY,20RG,4185,624,-567000,-57898740,60568000,40043226,'[3.11746E8,3.649E8['
2672754596,MTY,20RG,4185,624,-567000,-58025672,60504000,39979230,'[3.11746E8,3.649E8['
2672756273,FCL,40HC,4173,624,-568000,-57784675,61114500,38791118,'[3.649E8,4.6604E8['
2672756275,MTY,40HC,4047,624,-567000,-56947764,60551000,39626426,'[4.6604E8,5.20066E8['
2672757742,MTY,40HC,4185,624,-575000,-59022933,61961000,38561232,'[1.058038E9,1.522382E9['
2672757746,FCL,40RH,4185,6415,-20252500,-57779776,76115500,99672598,'[7.8491E7,2.13063E8['
2672757846,FCL,40HC,4076,624,-568000,-57065261,60991000,38378012,'[2.13063E8,2.17554E8['
2672757905,FCL,20RG,4060,6400,-20384000,-56471169,74310000,98696066,'[7.8491E7,2.13063E8['
2672757977,FCL,20RG,4060,6386,-20281000,-56440908,73573000,98072421,'[7.8491E7,2.13063E8['
2672758035,FCL,40HC,4060,6405,-20432500,-56508864,75178000,99423027,'[7.8491E7,2.13063E8['
2672759003,MTY,20RG,4185,624,-570000,-58518251,61581000,38433699,'[3.11746E8,3.649E8['
2672759052,MTY,20RG,4185,624,-567000,-56760352,60890000,39441218,'[3.11746E8,3.649E8['
2672759096,MTY,20RG,4185,624,-572000,-59306320,61901000,38577302,'[4.6604E8,5.20066E8['
2672767215,MTY,20RG,4185,624,-975500,-59691651,62272000,38845507,'[4.6604E8,5.20066E8['
2672767244,FCL,40HC,4076,624,-567000,-56263173,60841000,39393607,'[2.13063E8,2.17554E8['
2672769298,MTY,20RG,4185,3610,0,9089651,169443000,188960642,'[3.11746E8,3.649E8['
2672772270,MTY,20RG,4185,3720,1000,17388453,173218000,156252905,'[7.8491E7,2.13063E8['
2672772405,MTY,20RG,4185,3876,0,2267961,173193000,131175292,'[7.8491E7,2.13063E8['
2672774034,FCL,20RG,4060,626,-13711500,-61986988,63384000,40498281,'[5.20066E8,6.24443E8['
2672774579,FCL,40RG,4103,624,-10556000,-60617823,62338500,39130994,'[5.20066E8,6.24443E8['
2672775516,MTY,20RG,4185,626,-13185000,-61854859,63304000,40321611,'[4.6604E8,5.20066E8['
2672775567,MTY,20RG,4185,626,-14069000,-62151113,63580500,41828362,'[3.649E8,4.6604E8['
2672775613,MTY,20RG,4185,624,-568000,-57840757,61082500,38762281,'[3.11746E8,3.649E8['
2672775665,MTY,20RG,4185,4096,0,-2693613,169381000,113095611,'[7.8491E7,2.13063E8['
2672776934,MTY,20RG,4103,624,-2151000,-59770261,62113500,38906422,'[6.24443E8,1.058038E9['
2672777088,MTY,20RG,4185,624,-9870000,-60613360,62593000,39199432,'[4.6604E8,5.20066E8['
2672778781,FCL,40HC,4076,624,-12316000,-60978660,62488500,39281630,'[2.13063E8,2.17554E8['
2672778879,MTY,20RG,4103,624,-572000,-59294401,61686000,38443298,'[6.24443E8,1.058038E9['
2672779013,MTY,20RG,4103,624,-571000,-58999210,61683000,38362315,'[6.24443E8,1.058038E9['
2672779989,MTY,20RG,4076,624,-568000,-57761166,61187500,38867953,'[2.13063E8,2.17554E8['
2672780012,FCL,40HC,4281,624,-577000,-59404539,62080000,38683655,'[5.20066E8,6.24443E8['
2672780070,MTY,20RG,4076,624,-568000,-57177666,60988000,38468392,'[2.13063E8,2.17554E8['
2672781105,MTY,20RG,4076,624,-568000,-57965155,61070500,38751178,'[2.13063E8,2.17554E8['
2672781156,MTY,20RG,4076,624,-568000,-57692474,61124500,38805184,'[2.13063E8,2.17554E8['
2672781200,MTY,20RG,4185,626,-13590000,-61895423,63627000,40675011,'[4.6604E8,5.20066E8['
2672781251,MTY,20RG,4047,3766,0,11055186,173288000,146695330,'[6.24443E8,1.058038E9['
2672781306,MTY,20RG,4047,3680,56614000,22664635,172848000,163595563,'[6.24443E8,1.058038E9['
2672782238,MTY,20RG,4047,3767,0,11285516,173383000,146391785,'[6.24443E8,1.058038E9['
2672782289,MTY,20RG,4047,3766,0,11021131,173375000,146855962,'[6.24443E8,1.058038E9['
2672783096,MTY,20RG,4185,626,-14048000,-62193936,63749500,41998579,'[3.649E8,4.6604E8['
2672783119,FCL,20RG,4185,4686,0,-4879137,5410000,65291470,'[2.24119E8,3.11746E8['
2672785067,MTY,20RG,4103,9663,-7363000,-54372148,89351000,84187860,'[4.6604E8,5.20066E8['
2672787360,FCL,20RG,4103,3619,94241000,29133434,170409000,187719937,'[2.24119E8,3.11746E8['
2672790133,MTY,20RG,4103,3611,59522500,16419974,169494000,188764027,'[5.20066E8,6.24443E8['
2672790186,MTY,20RG,4103,624,-10556000,-60502571,62522500,39162036,'[6.24443E8,1.058038E9['
2672790228,MTY,20RG,4076,624,-576500,-59104804,62034000,38610923,'[2.13063E8,2.17554E8['
2672791765,MTY,20RG,4103,624,-575500,-59058051,61963000,38540131,'[6.24443E8,1.058038E9['
2672791768,FCL,20RG,4185,3622,125128000,57724114,171149000,186247267,'[2.24119E8,3.11746E8['
2672791884,FCL,20RG,4185,3627,124969000,54772469,171537000,184586266,'[2.24119E8,3.11746E8['
2672791891,MTY,20RG,4103,624,-577000,-59543134,62051000,38656373,'[6.24443E8,1.058038E9['
2672792066,MTY,20RG,4076,624,-576500,-59124612,61990000,38567142,'[2.13063E8,2.17554E8['
2672793957,MTY,20RG,4076,624,-570500,-58597752,61588000,38356609,'[2.13063E8,2.17554E8['
2672794068,MTY,20RG,4076,624,-571000,-58669800,61597000,38365612,'[2.13063E8,2.17554E8['
2672794236,MTY,20RG,4076,624,-577000,-59459246,62054000,38659594,'[2.13063E8,2.17554E8['
2672794593,MTY,20RG,4076,624,-577000,-59318893,62082000,38687598,'[2.13063E8,2.17554E8['
2672796367,MTY,20RG,4047,3625,124969000,56053228,171444500,185366723,'[6.24443E8,1.058038E9['
2672796372,FCL,20RG,4185,3646,71186000,36932735,172227000,173363600,'[2.24119E8,3.11746E8['
2672796502,FCL,20RG,4185,4657,0,-4769667,4941000,65850737,'[2.24119E8,3.11746E8['
2672796565,FCL,20RG,4185,3619,94247000,28462977,170432000,187200336,'[2.24119E8,3.11746E8['
2672796610,FCL,40HC,4037,624,-10665500,-60813639,62825000,39434150,'[5.20066E8,6.24443E8['
2672797416,MTY,20RG,4076,624,-576500,-58964778,62059000,38636984,'[2.13063E8,2.17554E8['
2672797466,MTY,20RG,4076,624,-577000,-59187486,62087000,38664987,'[2.13063E8,2.17554E8['
2672797510,MTY,20RG,4076,624,-12316000,-61009182,62556500,39352392,'[7.8491E7,2.13063E8['
2672798531,MTY,20RG,4076,624,-12316000,-60926223,62560500,39356598,'[7.8491E7,2.13063E8['
2672798616,MTY,20RG,4076,624,-10381500,-60185978,62600000,39226623,'[7.8491E7,2.13063E8['
2672801978,MTY,20RG,4076,624,-10381500,-60296458,62581000,39207833,'[7.8491E7,2.13063E8['
2672808651,MTY,40RH,4185,624,-577000,-59130487,62104000,38682836,'[1.058038E9,1.522382E9['
2672811524,MTY,40HC,4185,3619,96518000,32652784,170625000,187394874,'[6.24443E8,1.058038E9['
2672813886,FCL,40HC,4037,624,-12620000,-61559271,63123500,39913565,'[5.20066E8,6.24443E8['
2672813894,MTY,20RG,4185,3641,67373500,36796653,172161000,173299186,'[2.24119E8,3.11746E8['
2672814908,MTY,20RG,4185,624,-2151000,-59670719,62152500,38950295,'[4.6604E8,5.20066E8['
2672817371,MTY,40HC,4185,624,-12628000,-60633261,63339000,39864496,'[1.058038E9,1.522382E9['
2672817447,MTY,20RG,4185,624,-2151000,-59763244,62132500,38930510,'[4.6604E8,5.20066E8['
2672826870,MTY,20RG,4103,626,-13711500,-61836355,63896000,40959996,'[6.24443E8,1.058038E9['
2672827256,FCL,40HC,4185,6499,-20379500,-56972026,34445500,63216776,'[2.24119E8,3.11746E8['
2672829858,FCL,40RG,4185,626,-12624000,-61692423,63123000,40146600,'[4.6604E8,5.20066E8['
2672829861,MTY,40RG,4045,3660,64878500,29459085,172584000,171060488,'[3.649E8,4.6604E8['
2672829940,MTY,20RG,4103,624,-10665500,-60156935,63156000,39632499,'[6.24443E8,1.058038E9['
2672834155,MTY,20RG,4037,11163,0,-42046753,91089000,127759426,'[2.24119E8,3.11746E8['
2672834922,MTY,20RG,4185,3627,124969000,52564130,171566000,183575577,'[2.24119E8,3.11746E8['
2672835694,MTY,20RG,4103,3612,63075000,17753254,169642000,188916725,'[5.20066E8,6.24443E8['
2672842841,MTY,20RG,4103,3733,1000,16554285,173497000,154835324,'[5.20066E8,6.24443E8['
2672842848,FCL,40HC,4060,626,-14069000,-62167297,63521500,41777088,'[5.20066E8,6.24443E8['
2672842933,MTY,20OT,4047,625,-12620000,-61675541,63350500,40143672,'[5.20066E8,6.24443E8['
2672842977,MTY,40RH,4185,624,-12902000,-61604904,63413000,39990875,'[1.058038E9,1.522382E9['
2672844496,MTY,20RG,4185,624,-10665500,-60786008,63007000,39485582,'[4.6604E8,5.20066E8['
2672845341,FCL,20RG,4060,626,-13833000,-61940996,63893500,40969207,'[3.649E8,4.6604E8['
2672845388,FCL,20RG,4060,626,-13833000,-61937790,63764500,40840210,'[3.649E8,4.6604E8['
2672848727,MTY,20RG,4173,626,-13833000,-61995170,63536000,40592222,'[3.649E8,4.6604E8['
2672848780,MTY,40HC,4173,626,-13711500,-61980984,63416000,40539753,'[3.649E8,4.6604E8['
2672853889,MTY,20RG,4185,626,-13833000,-62064754,63457000,40532939,'[4.6604E8,5.20066E8['
2672857172,MTY,40HC,4173,626,-13833000,-61970679,63610000,40648081,'[3.649E8,4.6604E8['
